ID_TICKET,TYPE,STATUT_FERMETURE,PRIORITE,HORO_DATE_OUVERTURE,RESOLVED_AT,DUREE_RESO_H
3,Technical issue,Closed,Low,2020-07-14,2023-06-01 18:05:38,25266.09388888889
4,Billing inquiry,Closed,Low,2020-11-13,2023-06-01 01:57:40,22321.96111111111
5,Billing inquiry,Closed,Low,2020-02-04,2023-06-01 19:53:42,29131.895
11,Cancellation request,Closed,High,2021-01-19,2023-05-31 23:51:49,20711.863611111112
12,Product inquiry,Closed,High,2021-10-24,2023-06-01 09:27:51,14049.464166666667
15,Billing inquiry,Closed,High,2020-02-29,2023-05-31 23:08:55,28511.14861111111
17,Product inquiry,Closed,Critical,2021-10-13,2023-06-01 15:58:59,14319.983055555556
20,Refund request,Closed,Low,2021-03-08,2023-06-01 20:29:04,19580.484444444446
29,Technical issue,Closed,Critical,2020-06-10,2023-06-01 06:03:17,26070.054722222223
30,Cancellation request,Closed,Medium,2020-12-26,2023-06-01 18:23:17,21306.388055555555
32,Technical issue,Closed,Medium,2021-12-20,2023-06-01 07:16:21,12679.2725
34,Refund request,Closed,Critical,2021-12-09,2023-06-01 18:25:23,12954.423055555555
36,Cancellation request,Closed,High,2020-10-13,2023-06-01 00:14:25,23064.24027777778
39,Technical issue,Closed,Critical,2021-09-10,2023-05-31 21:53:30,15093.891666666666
42,Billing inquiry,Closed,Critical,2021-06-09,2023-06-01 14:43:34,17342.72611111111
45,Refund request,Closed,Critical,2021-09-25,2023-06-01 03:19:39,14739.3275
47,Refund request,Closed,High,2020-10-15,2023-06-01 09:24:43,23025.411944444444
48,Technical issue,Closed,Medium,2020-07-29,2023-06-01 05:59:45,24893.995833333334
52,Refund request,Closed,Medium,2020-11-20,2023-06-01 10:31:49,22162.530277777776
53,Refund request,Closed,High,2021-10-10,2023-06-01 20:59:49,14396.996944444445
54,Cancellation request,Closed,Low,2021-08-16,2023-06-01 10:25:50,15706.430555555555
59,Technical issue,Closed,Medium,2020-07-31,2023-06-01 04:45:57,24844.765833333335
60,Product inquiry,Closed,Medium,2021-09-05,2023-06-01 00:38:58,15216.649444444445
61,Cancellation request,Closed,Medium,2020-11-16,2023-06-01 11:55:00,22259.916666666668
63,Billing inquiry,Closed,High,2020-12-12,2023-06-01 12:41:04,21636.684444444443
67,Billing inquiry,Closed,High,2021-08-08,2023-06-01 10:17:08,15898.285555555556
70,Refund request,Closed,High,2020-02-13,2023-05-31 22:51:12,28894.853333333333
73,Billing inquiry,Closed,Low,2021-02-16,2023-06-01 03:17:16,20043.28777777778
74,Cancellation request,Closed,Critical,2020-11-09,2023-06-01 02:24:17,22418.40472222222
76,Product inquiry,Closed,Critical,2021-01-06,2023-06-01 02:30:20,21026.505555555555
78,Billing inquiry,Closed,Low,2020-12-29,2023-06-01 15:21:24,21231.356666666667
83,Refund request,Closed,Low,2021-10-04,2023-06-01 20:35:30,14540.591666666667
87,Technical issue,Closed,Critical,2020-01-18,2023-06-01 06:23:35,29526.393055555556
90,Product inquiry,Closed,Medium,2020-01-30,2023-06-01 03:09:40,29235.161111111112
96,Product inquiry,Closed,High,2021-10-02,2023-06-01 18:39:49,14586.663611111111
99,Billing inquiry,Closed,High,2020-09-09,2023-06-01 14:45:53,23894.764722222222
103,Refund request,Closed,Critical,2021-01-26,2023-06-01 15:23:58,20559.399444444443
107,Cancellation request,Closed,Low,2021-05-20,2023-06-01 20:46:01,17828.766944444444
109,Technical issue,Closed,Critical,2020-01-08,2023-06-01 08:15:03,29768.25083333333
111,Cancellation request,Closed,High,2021-07-28,2023-06-01 12:43:05,16164.718055555555
114,Cancellation request,Closed,High,2021-11-12,2023-05-31 22:24:09,13582.4025
115,Cancellation request,Closed,High,2020-09-20,2023-06-01 06:04:10,23622.069444444445
117,Cancellation request,Closed,High,2021-11-27,2023-06-01 18:17:13,13242.286944444444
118,Billing inquiry,Closed,Medium,2020-02-16,2023-06-01 04:42:14,28828.70388888889
120,Billing inquiry,Closed,Low,2021-07-31,2023-06-01 14:49:17,16094.82138888889
129,Cancellation request,Closed,Medium,2021-04-15,2023-06-01 00:29:33,18648.4925
